m/z,feature importance
655.5614624023438,0.11716058
814.4891967773438,0.11715728
830.5285034179688,0.116327904
361.2098388671875,0.11632021
523.4724731445312,0.11583778
343.045654296875,0.114906915
809.449462890625,0.11458089
844.5228881835938,0.11454665
413.2624816894531,0.114084326
754.5369262695312,0.11401081
709.5139770507812,0.11352449
845.6727905273438,0.11333796
519.3826293945312,0.11295216
336.2809753417969,0.11285042
796.5850219726562,0.11241106
663.4511108398438,0.11200209
653.5465698242188,0.11183931
745.4773559570312,0.11155843
607.4686279296875,0.11149296
858.5272216796875,0.11120403
599.3240356445312,0.111170895
874.5714721679688,0.11082422
522.3574829101562,0.10919947
311.0521240234375,0.10883306
502.4984130859375,0.1085613
888.4508666992188,0.10842965
362.2947998046875,0.108428806
461.0852966308594,0.10842375
570.5203247070312,0.108252
840.5730590820312,0.107930675
838.6281127929688,0.10735149
504.34332275390625,0.1072742
577.52001953125,0.107069276
723.5433349609375,0.10705557
520.507568359375,0.106990166
587.4995727539062,0.10679595
789.4803466796875,0.10648918
619.528076171875,0.10647685
372.0943298339844,0.1064433
794.5701293945312,0.10587287
381.3139343261719,0.10581964
739.4676513671875,0.10578682
812.54931640625,0.105400905
812.519287109375,0.104880646
604.603759765625,0.10481918
399.3230895996094,0.104616076
947.503173828125,0.10426299
820.52392578125,0.10389081
738.5126953125,0.10136321
731.6029663085938,0.101301946
963.4774780273438,0.10121073
826.5686645507812,0.101087354
562.32568359375,0.10081592
694.5147094726562,0.09990376
482.3243408203125,0.09975021
531.3421020507812,0.09955836
649.5167236328125,0.099097274
866.5818481445312,0.09816803
729.4780883789062,0.09777941
415.3173828125,0.0975367
310.1771545410156,0.09740024
665.3809814453125,0.097397186
843.6578979492188,0.09689565
827.70361328125,0.09657678
348.1904296875,0.09655935
833.6483764648438,0.096164405
854.5623779296875,0.096096784
740.5225830078125,0.09543839
927.4691162109375,0.09522868
925.5191650390625,0.09513417
388.1236267089844,0.094910644
896.48046875,0.09482778
601.5189208984375,0.0947038
365.0296630859375,0.0946509
318.1067810058594,0.09446847
695.4596557617188,0.094454825
878.5263061523438,0.094122365
496.33868408203125,0.09390461
374.16925048828125,0.09355134
909.544921875,0.09323502
358.16998291015625,0.09270803
856.5823364257812,0.092549264
394.1683349609375,0.09226428
409.16265869140625,0.091837004
341.3057556152344,0.090213515
302.1025390625,0.09007921
701.5093383789062,0.08994015
371.3193664550781,0.08962893
603.5338134765625,0.0892039
844.462890625,0.08897663
862.5570678710938,0.08889034
366.28961181640625,0.08880381
814.5592041015625,0.08862359
820.6039428710938,0.08860856
675.445556640625,0.088399
788.5504150390625,0.08799401
548.5413208007812,0.08798868
478.3294982910156,0.087343045
751.5220947265625,0.08723246
811.6643676757812,0.08679115
860.6121215820312,0.086624004
761.45166015625,0.085953444
856.5422973632812,0.085801214
768.5513305664062,0.085069396
447.2859191894531,0.08504251
459.2453918457031,0.08476304
633.4874267578125,0.084588096
774.6010131835938,0.08436477
519.2626342773438,0.083778836
431.3116455078125,0.08343077
439.3162841796875,0.08326074
623.5029296875,0.08315853
838.55810546875,0.082954906
801.4248046875,0.0824822
787.4654541015625,0.08238097
868.5267944335938,0.082168214
802.634765625,0.081377074
750.5421142578125,0.0813518
850.49755859375,0.08028919
418.167236328125,0.07996044
842.5879516601562,0.079472944
346.885498046875,0.07947259
390.1385192871094,0.07930932
676.4555053710938,0.079253174
361.27484130859375,0.079126336
858.5621948242188,0.07874987
605.3787231445312,0.07794678
384.18878173828125,0.07750335
529.3272094726562,0.077453665
788.6154174804688,0.075088255
895.6905517578125,0.07497456
612.6083984375,0.0749421
849.6226196289062,0.074628174
479.2344665527344,0.07452935
911.6798095703125,0.074452884
589.4794311523438,0.074130826
818.5940551757812,0.074049294
804.5496826171875,0.07404106
340.0257873535156,0.07350683
858.5922241210938,0.07326482
756.4918823242188,0.07323007
912.5347900390625,0.07321847
863.6820068359375,0.07309207
378.2840576171875,0.07290109
718.53857421875,0.072670676
382.28387451171875,0.071987435
621.4829711914062,0.07108067
342.0157165527344,0.070791386
487.27911376953125,0.07032963
406.352783203125,0.07014788
632.1625366210938,0.07006075
735.5328369140625,0.06959939
809.6494140625,0.06952964
765.4814453125,0.06936386
303.0124816894531,0.06925454
515.3478393554688,0.06871264
342.04071044921875,0.06810969
330.9112243652344,0.0669684
611.5384521484375,0.066411816
855.4973754882812,0.065797135
