,UPEC_12
784.5256,0.025698231462935824
788.6154,0.025654561291436916
800.61487,0.02556050392553066
751.5221,0.025239484088883088
810.5394,0.025172426279935017
909.5449,0.024924633926533827
643.527,0.024150141050314412
820.60394,0.024129233739097804
883.77106,0.024069011608359177
782.5057,0.023958602728036342
475.21967,0.023740468183625147
882.56116,0.023609740346166794
913.6997,0.02358237944537523
832.5234,0.02341334536172389
339.29083,0.02298940127419059
774.601,0.022529537027591136
851.6375,0.022437751816344692
813.68427,0.022207630287882703
524.36743,0.02212383398741786
735.4328,0.02210360872185766
443.2511,0.02202710387107048
861.66705,0.021918335317473073
817.5591,0.02172064239651523
550.35626,0.021582945354257983
459.2454,0.021517770662433433
884.50604,0.021466064483449745
485.1992,0.021410906397284837
881.51117,0.021300936712478645
615.4933,0.021278942269281974
599.504,0.021060463955571616
768.55133,0.021057822952027225
871.4716,0.021026576523941277
880.5462,0.020882454180556523
633.4874,0.020834264315403653
763.46155,0.020490338748047413
836.6132,0.02045894526916947
778.4759,0.020068824086784995
745.55237,0.019958386260518886
767.49634,0.01990361346240488
611.53845,0.019687359547756262
864.56696,0.01958633852001667
466.33005,0.01941247622565539
713.4488,0.019239747564944978
413.26248,0.01911033013308258
828.5536,0.018708062023408394
719.45856,0.018669395364618268
913.4597,0.01853771881639036
849.6226,0.01845279608700993
811.66437,0.018253158630913025
409.26764,0.018227415269820805
463.22018,0.018001999598806447
646.41187,0.017842499306754855
767.21136,0.017738085511934343
538.5218,0.017676880392330917
607.4686,0.017666200859048915
468.28497,0.017572416036764005
912.5348,0.017493919934294902
856.5073,0.017379726289945642
776.59094,0.017211485290797156
500.3135,0.01719480547981459
776.55597,0.016831260258198838
495.26373,0.016778866099201123
911.6798,0.016616735604400617
701.40936,0.016528719735356395
827.7036,0.016510392860045485
891.7157,0.016408233075156813
773.58606,0.016352138955324592
513.25793,0.01632729024767865
666.48096,0.01632584134922225
823.6638,0.016294944132552374
571.4703,0.01625034226080415
591.4944,0.016198334359997624
561.0507,0.016019746802523056
858.5272,0.01596842843442557
660.4212,0.01591220846782054
445.27103,0.015902495606583505
627.5327,0.015759505120142743
393.29837,0.015750988691781004
751.4071,0.01574588985868882
419.2522,0.01572972620397161
307.0523,0.01557514749610489
878.5263,0.015433257074178917
832.5834,0.015379080396183641
481.20938,0.015361226434426561
378.28406,0.015348337327866043
662.44617,0.01532788122363566
526.32733,0.01530013987145
618.14813,0.015256637593094683
313.272,0.015189285284506804
812.5193,0.015143413563586783
485.2992,0.01511894350987409
903.53516,0.01503860969844038
335.97098,0.0149988813571522
801.6848,0.014987663835958447
447.28592,0.014918469764699363
535.4719,0.0146995629386546
844.4629,0.014605717594649131
931.52893,0.014540941717075586
896.7155,0.014365304343390516
896.48047,0.014294422647430631
874.7315,0.01429045417963631
753.482,0.014271752881644267
887.4459,0.014263576171522189
798.45996,0.014166599439595183
794.5701,0.014150061857980158
859.76715,0.013867914942568914
547.4714,0.01383851885592273
879.73627,0.013808093860183609
323.27158,0.013741025584045323
472.38977,0.01370562660198477
475.28964,0.013623570771825865
872.5566,0.013608311298430684
457.28046,0.01351254192711955
790.5553,0.0131487820189234
858.5922,0.013066686250415621
436.18643,0.013026532865638612
311.26712,0.013016233689572219
645.54193,0.012926924415545243
549.35626,0.012776377385604717
897.4855,0.012712401149836591
912.68976,0.012698345179783063
537.4868,0.012585797344672783
564.2906,0.012374511841837875
834.5383,0.01232024297472992
485.2642,0.0122691829221276
482.32434,0.012034937020068422
531.3421,0.012029199097806555
518.0627,0.01199975578185831
641.5121,0.011997767115703602
833.75336,0.011648814687989124
833.6484,0.01148878102001452
303.01248,0.011472667001745741
429.32175,0.011365367466865053
584.3047,0.011319733084317597
652.60156,0.011176855421493695
363.11975,0.011157324844441329
599.32404,0.011095260312850793
397.2282,0.011002054265483223
551.3262,0.010879422624355753
766.5414,0.01087429816884083
886.59595,0.010829072955454563
635.5024,0.01072766937357655
750.5421,0.010715915767717153
862.55707,0.010695269929374258
542.4916,0.010675197403456438
643.197,0.010608189063464364
503.2534,0.010462937364828409
752.55707,0.01042436697867928
311.05212,0.010224941826926282
859.53217,0.010212872324578327
473.26974,0.010086776505524427
415.28238,0.009997909969524885
614.3483,0.009832698537906468
513.33295,0.009789411327613556
729.4781,0.009731268278211443
458.13043,0.009637168624179694
816.43414,0.009597520982853535
390.13852,0.009518813795946478
650.4367,0.009515446531417641
367.14456,0.00948921265596603
645.4069,0.009486000265834186
358.00998,0.00948523577405512
374.10925,0.00945112412401127
849.4876,0.009450656721718189
388.12363,0.009393416221087917
839.4631,0.009361939656116132
629.3726,0.00930486142553587
487.2791,0.00914455925406868
496.0787,0.008960654552171585
491.09894,0.00891939682263146
605.5487,0.008892485892652261
836.5432,0.008880232119605699
619.5281,0.008838837327363593
802.63477,0.008837366995267595
630.3776,0.008812200876727566
627.4677,0.00876676896417889
799.6699,0.008754768610533308
769.47626,0.008742725148811928
597.4291,0.008713776541614598
567.39044,0.008603855938127198
371.31937,0.008534011491657688
616.1732,0.008514380013231015
506.35825,0.008500917697678901
625.5178,0.008477355868351504
645.5019,0.008475491111443146
469.28992,0.008470739395984162
529.3272,0.008432785284185958
476.3596,0.008422694467040668
746.5673,0.008417152295916963
318.13678,0.008406021124899497
352.12024,0.008397075626601152
560.5008,0.008337999198835589
818.564,0.008301577952889602
793.5002,0.008241114324847478
572.19025,0.00817699642440751
602.1639,0.008166979149779591
617.1782,0.008166940595057978
535.23694,0.008077501475819357
718.5386,0.007956043656511192
340.0258,0.007940738876913135
709.474,0.007908235162040972
408.2977,0.007818160614426329
626.33276,0.007773590543375173
850.49756,0.007658415466166175
591.16437,0.007547182076455001
895.69055,0.007544657682844546
812.5493,0.007521257503836921
623.5029,0.007478032268924834
565.51556,0.007256444878031377
848.5577,0.007120187591020127
342.01572,0.007056169571916338
621.483,0.007027731867023856
