m/z,UPEC_12,mean
792.56525,0.1509683064540362,0.1509683064540362
735.53284,0.1506693494985933,0.1506693494985933
740.5226,0.1499771240378518,0.1499771240378518
856.5423,0.1497331026778607,0.1497331026778607
443.2511,0.1494192659215115,0.1494192659215115
785.45056,0.1492008079190389,0.1492008079190389
625.5178,0.1491265133657999,0.1491265133657999
790.5553,0.1486633449649541,0.1486633449649541
828.5536,0.1485082803948081,0.1485082803948081
727.5182,0.147656291634455,0.147656291634455
863.682,0.1476441631292551,0.1476441631292551
573.48517,0.1472994232515916,0.1472994232515916
413.26248,0.1472682770642309,0.1472682770642309
794.5701,0.1472306963021444,0.1472306963021444
419.2522,0.1466255057488822,0.1466255057488822
842.58795,0.1464206274505795,0.1464206274505795
706.5391,0.1462825740081319,0.1462825740081319
735.4328,0.1460978305762732,0.1460978305762732
475.21967,0.1455063246770175,0.1455063246770175
774.601,0.145332337422644,0.145332337422644
852.5775,0.145328341233671,0.145328341233671
854.5274,0.1452077408822931,0.1452077408822931
838.5581,0.1444603073448689,0.1444603073448689
812.5493,0.1443508384965501,0.1443508384965501
872.5566,0.1443062864538034,0.1443062864538034
617.5132,0.143913739534509,0.143913739534509
746.5673,0.1427083740112105,0.1427083740112105
836.6132,0.1426692150928912,0.1426692150928912
774.57104,0.1423636042741469,0.1423636042741469
810.5394,0.1416848637904311,0.1416848637904311
804.4947,0.1416717766632792,0.1416717766632792
868.5268,0.1414518189819329,0.1414518189819329
766.5414,0.1411174982843013,0.1411174982843013
850.49756,0.1407543787048327,0.1407543787048327
844.4629,0.1407171578231065,0.1407171578231065
796.585,0.1402560750929741,0.1402560750929741
825.6237,0.1402298088301836,0.1402298088301836
542.3216,0.1399834110849017,0.1399834110849017
401.338,0.1397342516864756,0.1397342516864756
481.20938,0.1395579559058763,0.1395579559058763
880.5462,0.1393152487039627,0.1393152487039627
487.2791,0.1384042276737254,0.1384042276737254
542.4916,0.1383280596918646,0.1383280596918646
383.32883,0.1382688958745134,0.1382688958745134
834.5383,0.1379447034188027,0.1379447034188027
730.538,0.1371478860628592,0.1371478860628592
818.50903,0.1371160496683333,0.1371160496683333
788.5504,0.1357673451247394,0.1357673451247394
758.5118,0.1357212166790521,0.1357212166790521
523.4725,0.1356306534778322,0.1356306534778322
745.55237,0.1355826557032995,0.1355826557032995
812.5193,0.1352984693530977,0.1352984693530977
870.5367,0.1343605744960402,0.1343605744960402
521.3975,0.1338361926712993,0.1338361926712993
833.6484,0.1333000207649693,0.1333000207649693
519.3826,0.1332575611709106,0.1332575611709106
611.53845,0.1326807267411934,0.1326807267411934
858.5622,0.1325942776496425,0.1325942776496425
854.5624,0.1323353226986332,0.1323353226986332
769.47626,0.131968763806344,0.131968763806344
782.5057,0.1316563493280282,0.1316563493280282
415.22238,0.1308798108525332,0.1308798108525332
836.5432,0.1308689252896562,0.1308689252896562
366.2896,0.1307814259957918,0.1307814259957918
832.5234,0.1305775599261621,0.1305775599261621
415.28238,0.1304852010969133,0.1304852010969133
643.527,0.1302988262377469,0.1302988262377469
445.27103,0.130133904419707,0.130133904419707
550.35626,0.1297280053694023,0.1297280053694023
503.2534,0.12964642334871,0.12964642334871
463.22018,0.1292169790359213,0.1292169790359213
866.58185,0.1286609136925331,0.1286609136925331
909.5449,0.1283545430875958,0.1283545430875958
623.5029,0.1283379174449292,0.1283379174449292
751.4071,0.1282984878685235,0.1282984878685235
506.35825,0.1281081773598278,0.1281081773598278
597.4841,0.1280537042813601,0.1280537042813601
311.26712,0.1277230434125132,0.1277230434125132
889.7008,0.1276814182415313,0.1276814182415313
500.3135,0.1271974500199859,0.1271974500199859
778.4759,0.127054755373144,0.127054755373144
750.5421,0.127035024768095,0.127035024768095
802.5898,0.1269597718354143,0.1269597718354143
884.50604,0.1268408774428544,0.1268408774428544
874.5715,0.1268230849361533,0.1268230849361533
756.4919,0.1267342591656719,0.1267342591656719
447.28592,0.1267100150707804,0.1267100150707804
752.55707,0.1266937210199186,0.1266937210199186
630.6176,0.1264826566050962,0.1264826566050962
526.32733,0.1264247949740866,0.1264247949740866
845.6728,0.126244068762934,0.126244068762934
421.2721,0.1262391030454056,0.1262391030454056
882.56116,0.1261876210903664,0.1261876210903664
361.27484,0.1261766417763695,0.1261766417763695
