m/z,UPEC_12,mean
603.5338,0.0485354441518824,0.0485354441518824
562.3257,0.0484542361271575,0.0484542361271575
739.46765,0.0482615732290351,0.0482615732290351
560.3108,0.0477211857633162,0.0477211857633162
749.5072,0.0472284620703747,0.0472284620703747
711.4339,0.046517624550433,0.046517624550433
816.5791,0.0463968391606308,0.0463968391606308
741.5275,0.0462453919932232,0.0462453919932232
794.51013,0.0459547920552994,0.0459547920552994
703.5743,0.0448426799130741,0.0448426799130741
575.5001,0.0446007358753249,0.0446007358753249
820.5239,0.0445735773495695,0.0445735773495695
778.5359,0.0440040834518215,0.0440040834518215
723.49335,0.0439067461486541,0.0439067461486541
522.3575,0.0435982625527647,0.0435982625527647
430.37668,0.0430170925481142,0.0430170925481142
730.538,0.0420969513467343,0.0420969513467343
727.5182,0.0418375263534972,0.0418375263534972
856.5423,0.0414738187789321,0.0414738187789321
855.73737,0.0411146696123286,0.0411146696123286
682.4552,0.0409731714659194,0.0409731714659194
542.3216,0.0405765685467062,0.0405765685467062
706.5391,0.0403797201151788,0.0403797201151788
925.51917,0.0398183435686518,0.0398183435686518
441.2362,0.039753326787392,0.039753326787392
804.5497,0.0397401424346616,0.0397401424346616
840.57306,0.0396347857153824,0.0396347857153824
765.48145,0.039550250873116,0.039550250873116
863.682,0.0393046788767361,0.0393046788767361
872.48157,0.0390115167950552,0.0390115167950552
504.34332,0.0389635076543,0.0389635076543
730.57306,0.0387549291459685,0.0387549291459685
868.5268,0.0383951258292472,0.0383951258292472
829.7235,0.0382465174092157,0.0382465174092157
947.5032,0.0381712888398908,0.0381712888398908
725.5533,0.0380033730127755,0.0380033730127755
814.5592,0.0378929702366571,0.0378929702366571
963.4775,0.0378048665394334,0.0378048665394334
889.7008,0.0375556683197164,0.0375556683197164
747.49225,0.0366555982071566,0.0366555982071566
852.5775,0.0365242041121048,0.0365242041121048
573.48517,0.0363764035831559,0.0363764035831559
802.5898,0.035804717644942,0.035804717644942
854.5274,0.0355429167820946,0.0355429167820946
846.5378,0.0350134086069278,0.0350134086069278
523.4725,0.0346194302132988,0.0346194302132988
695.45966,0.0341541007165464,0.0341541007165464
866.58185,0.0340564032707194,0.0340564032707194
337.2759,0.0336914804020952,0.0336914804020952
852.5125,0.0335767060755637,0.0335767060755637
838.5581,0.0330997533003574,0.0330997533003574
549.48627,0.0326857419008956,0.0326857419008956
760.58167,0.032669420447854,0.032669420447854
844.5229,0.0326364178718191,0.0326364178718191
478.3295,0.0323983853258542,0.0323983853258542
745.47736,0.0322700646897481,0.0322700646897481
577.52,0.0321631598579463,0.0321631598579463
858.5622,0.0316197337075043,0.0316197337075043
601.5189,0.0315973347371721,0.0315973347371721
740.5226,0.0315402800948499,0.0315402800948499
661.5212,0.0314566118169435,0.0314566118169435
724.5283,0.0314207177250058,0.0314207177250058
617.5132,0.0313347020160159,0.0313347020160159
465.2351,0.0311567603450094,0.0311567603450094
804.4947,0.0311359625271229,0.0311359625271229
845.6728,0.030985298750134,0.030985298750134
854.5624,0.030902753714989,0.030902753714989
